bins,sample,covg,total,rel_abundance
Bin_1,R2Dec2019.sorted.bam,90,129596,0.0694465878576499
Bin_1,R2Feb2020.sorted.bam,219,224838,0.097403463827289
Bin_1,R2Jan2020.sorted.bam,297,213553,0.139075545649089
Bin_1,R2July2020.sorted.bam,582,271426,0.214423084008164
Bin_1,R2Mar2020.sorted.bam,195,188802,0.103282804207583
Bin_1,R2Nov2019.sorted.bam,67,129949,0.0515586884085295
Bin_1,R2Sept2020.sorted.bam,903,244772,0.368914745150589
Bin_10,R2Dec2019.sorted.bam,1231,129596,0.949874996141856
Bin_10,R2Feb2020.sorted.bam,32859,224838,14.6145224561684
Bin_10,R2Jan2020.sorted.bam,3550,213553,1.66235079816252
Bin_10,R2July2020.sorted.bam,26023,271426,9.58751188169151
Bin_10,R2Mar2020.sorted.bam,3812,188802,2.01904640840669
Bin_10,R2Nov2019.sorted.bam,1046,129949,0.804931165303311
Bin_10,R2Sept2020.sorted.bam,42684,244772,17.4382690830651
Bin_11,R2Dec2019.sorted.bam,33807,129596,26.0864532855952
Bin_11,R2Feb2020.sorted.bam,43994,224838,19.5669771124098
Bin_11,R2Jan2020.sorted.bam,75125,213553,35.1786207639321
Bin_11,R2July2020.sorted.bam,75345,271426,27.758947190026
Bin_11,R2Mar2020.sorted.bam,72203,188802,38.2427092933338
Bin_11,R2Nov2019.sorted.bam,29849,129949,22.9697804523313
Bin_11,R2Sept2020.sorted.bam,62101,244772,25.3709574624549
Bin_13_1,R2Dec2019.sorted.bam,24200,129596,18.6734158461681
Bin_13_1,R2Feb2020.sorted.bam,21135,224838,9.4001014063459
Bin_13_1,R2Jan2020.sorted.bam,60409,213553,28.2875913707604
Bin_13_1,R2July2020.sorted.bam,31022,271426,11.4292661719953
Bin_13_1,R2Mar2020.sorted.bam,48431,188802,25.6517409773202
Bin_13_1,R2Nov2019.sorted.bam,4237,129949,3.26050989234238
Bin_13_1,R2Sept2020.sorted.bam,4560,244772,1.86295818149135
Bin_13_10,R2Dec2019.sorted.bam,4013,129596,3.09654618969721
Bin_13_10,R2Feb2020.sorted.bam,3817,224838,1.6976667645149
Bin_13_10,R2Jan2020.sorted.bam,12019,213553,5.62811105439867
Bin_13_10,R2July2020.sorted.bam,5236,271426,1.92907090698754
Bin_13_10,R2Mar2020.sorted.bam,10935,188802,5.79178186671751
Bin_13_10,R2Nov2019.sorted.bam,862,129949,0.663337155345559
Bin_13_10,R2Sept2020.sorted.bam,1324,244772,0.540911542169856
Bin_13_11,R2Dec2019.sorted.bam,1572,129596,1.21300040124695
Bin_13_11,R2Feb2020.sorted.bam,2168,224838,0.96424981542266
Bin_13_11,R2Jan2020.sorted.bam,7231,213553,3.38604468211638
Bin_13_11,R2July2020.sorted.bam,541,271426,0.199317677746421
Bin_13_11,R2Mar2020.sorted.bam,6135,188802,3.2494359169924
Bin_13_11,R2Nov2019.sorted.bam,75,129949,0.0577149497110405
Bin_13_11,R2Sept2020.sorted.bam,125,244772,0.0510679326066707
Bin_13_2,R2Dec2019.sorted.bam,375,129596,0.289360782740208
Bin_13_2,R2Feb2020.sorted.bam,1624,224838,0.722297832216974
Bin_13_2,R2Jan2020.sorted.bam,246,213553,0.115193886295205
Bin_13_2,R2July2020.sorted.bam,1749,271426,0.644374525653401
Bin_13_2,R2Mar2020.sorted.bam,532,188802,0.281776676094533
Bin_13_2,R2Nov2019.sorted.bam,613,129949,0.471723522304904
Bin_13_2,R2Sept2020.sorted.bam,2019,244772,0.824849247462945
Bin_13_3,R2Dec2019.sorted.bam,249,129596,0.192135559739498
Bin_13_3,R2Feb2020.sorted.bam,1993,224838,0.886415997295831
Bin_13_3,R2Jan2020.sorted.bam,253,213553,0.118471761108484
Bin_13_3,R2July2020.sorted.bam,2150,271426,0.792112767384112
Bin_13_3,R2Mar2020.sorted.bam,410,188802,0.21715871653902
Bin_13_3,R2Nov2019.sorted.bam,363,129949,0.279340356601436
Bin_13_3,R2Sept2020.sorted.bam,2362,244772,0.964979654535649
Bin_13_4,R2Dec2019.sorted.bam,80,129596,0.061730300317911
Bin_13_4,R2Feb2020.sorted.bam,1088,224838,0.483903966411372
Bin_13_4,R2Jan2020.sorted.bam,68,213553,0.0318422124718454
Bin_13_4,R2July2020.sorted.bam,937,271426,0.345213796762285
Bin_13_4,R2Mar2020.sorted.bam,314,188802,0.166311797544518
Bin_13_4,R2Nov2019.sorted.bam,133,129949,0.102347844154245
Bin_13_4,R2Sept2020.sorted.bam,419,244772,0.17117971009756
Bin_13_5,R2Dec2019.sorted.bam,585,129596,0.451402821074725
Bin_13_5,R2Feb2020.sorted.bam,12154,224838,5.40566986007703
Bin_13_5,R2Jan2020.sorted.bam,1477,213553,0.691631585601701
Bin_13_5,R2July2020.sorted.bam,11370,271426,4.18898705356156
Bin_13_5,R2Mar2020.sorted.bam,2015,188802,1.06725564347835
Bin_13_5,R2Nov2019.sorted.bam,158,129949,0.121586160724592
Bin_13_5,R2Sept2020.sorted.bam,14644,244772,5.98271044073669
Bin_13_6,R2Dec2019.sorted.bam,526,129596,0.405876724590265
Bin_13_6,R2Feb2020.sorted.bam,16533,224838,7.3532943719478
Bin_13_6,R2Jan2020.sorted.bam,1281,213553,0.599851090829911
Bin_13_6,R2July2020.sorted.bam,13959,271426,5.14283819530922
Bin_13_6,R2Mar2020.sorted.bam,1479,188802,0.783360345759049
Bin_13_6,R2Nov2019.sorted.bam,146,129949,0.112351768770825
Bin_13_6,R2Sept2020.sorted.bam,19256,244772,7.86691288219241
Bin_13_7,R2Dec2019.sorted.bam,458,129596,0.353405969320041
Bin_13_7,R2Feb2020.sorted.bam,13251,224838,5.8935767085635
Bin_13_7,R2Jan2020.sorted.bam,1233,213553,0.577374234967432
Bin_13_7,R2July2020.sorted.bam,10712,271426,3.94656370428772
Bin_13_7,R2Mar2020.sorted.bam,1394,188802,0.738339636232667
Bin_13_7,R2Nov2019.sorted.bam,186,129949,0.14313307528338
Bin_13_7,R2Sept2020.sorted.bam,16746,244772,6.84146879545046
Bin_13_8,R2Dec2019.sorted.bam,10139,129596,7.82354393654125
Bin_13_8,R2Feb2020.sorted.bam,13870,224838,6.16888604239497
Bin_13_8,R2Jan2020.sorted.bam,14576,213553,6.82547189690615
Bin_13_8,R2July2020.sorted.bam,17038,271426,6.27721736311186
Bin_13_8,R2Mar2020.sorted.bam,13733,188802,7.27375769324478
Bin_13_8,R2Nov2019.sorted.bam,9994,129949,7.69070943216185
Bin_13_8,R2Sept2020.sorted.bam,13259,244772,5.41687774745477
Bin_13_9,R2Dec2019.sorted.bam,2954,129596,2.27939133923887
Bin_13_9,R2Feb2020.sorted.bam,11870,224838,5.27935669237406
Bin_13_9,R2Jan2020.sorted.bam,6922,213553,3.24134992250167
Bin_13_9,R2July2020.sorted.bam,11443,271426,4.21588204519832
Bin_13_9,R2Mar2020.sorted.bam,6465,188802,3.42422220103601
Bin_13_9,R2Nov2019.sorted.bam,1444,129949,1.11120516510323
Bin_13_9,R2Sept2020.sorted.bam,14699,244772,6.00518033108362
Bin_14,R2Dec2019.sorted.bam,27,129596,0.020833976357295
Bin_14,R2Feb2020.sorted.bam,9342,224838,4.15499159394764
Bin_14,R2Jan2020.sorted.bam,577,213553,0.270190538180218
Bin_14,R2July2020.sorted.bam,6187,271426,2.2794426473514
Bin_14,R2Mar2020.sorted.bam,5365,188802,2.841601254224
Bin_14,R2Nov2019.sorted.bam,20,129949,0.0153906532562775
Bin_14,R2Sept2020.sorted.bam,3163,244772,1.2922229666792
Bin_15,R2Dec2019.sorted.bam,34,129596,0.0262353776351122
Bin_15,R2Feb2020.sorted.bam,906,224838,0.40295679555947
Bin_15,R2Jan2020.sorted.bam,99,213553,0.0463585152163632
Bin_15,R2July2020.sorted.bam,3747,271426,1.38048676250617
Bin_15,R2Mar2020.sorted.bam,149,188802,0.0789186555227169
Bin_15,R2Nov2019.sorted.bam,86,129949,0.0661798090019931
Bin_15,R2Sept2020.sorted.bam,1468,244772,0.599741800532741
Bin_17,R2Dec2019.sorted.bam,192,129596,0.148152720762987
Bin_17,R2Feb2020.sorted.bam,1795,224838,0.798352591643761
Bin_17,R2Jan2020.sorted.bam,486,213553,0.227578165607601
Bin_17,R2July2020.sorted.bam,1811,271426,0.667216847317501
Bin_17,R2Mar2020.sorted.bam,625,188802,0.331034628870457
Bin_17,R2Nov2019.sorted.bam,117,129949,0.0900353215492232
Bin_17,R2Sept2020.sorted.bam,1945,244772,0.794617031359796
Bin_18,R2Dec2019.sorted.bam,191,129596,0.147381092009013
Bin_18,R2Feb2020.sorted.bam,1102,224838,0.490130671861518
Bin_18,R2Jan2020.sorted.bam,441,213553,0.206506113236527
Bin_18,R2July2020.sorted.bam,1715,271426,0.631848091192443
Bin_18,R2Mar2020.sorted.bam,565,188802,0.299255304498893
Bin_18,R2Nov2019.sorted.bam,175,129949,0.134668215992428
Bin_18,R2Sept2020.sorted.bam,1881,244772,0.768470249865181
Bin_19,R2Dec2019.sorted.bam,88,129596,0.0679033303497021
Bin_19,R2Feb2020.sorted.bam,374,224838,0.166341988453909
Bin_19,R2Jan2020.sorted.bam,159,213553,0.074454585044462
Bin_19,R2July2020.sorted.bam,663,271426,0.244265471988682
Bin_19,R2Mar2020.sorted.bam,482,188802,0.255293905784896
Bin_19,R2Nov2019.sorted.bam,67,129949,0.0515586884085295
Bin_19,R2Sept2020.sorted.bam,1022,244772,0.41753141699214
Bin_2,R2Dec2019.sorted.bam,20,129596,0.0154325750794778
Bin_2,R2Feb2020.sorted.bam,211,224838,0.0938453464272054
Bin_2,R2Jan2020.sorted.bam,28,213553,0.0131114992531128
Bin_2,R2July2020.sorted.bam,6330,271426,2.33212735699601
Bin_2,R2Mar2020.sorted.bam,107,188802,0.0566731284626222
Bin_2,R2Nov2019.sorted.bam,2,129949,0.00153906532562775
Bin_2,R2Sept2020.sorted.bam,1452,244772,0.593205105159087
Bin_20,R2Dec2019.sorted.bam,83,129596,0.0640451865798327
Bin_20,R2Feb2020.sorted.bam,763,224838,0.339355447032975
Bin_20,R2Jan2020.sorted.bam,169,213553,0.0791372633491452
Bin_20,R2July2020.sorted.bam,1130,271426,0.41631973355537
Bin_20,R2Mar2020.sorted.bam,201,188802,0.106460736644739
Bin_20,R2Nov2019.sorted.bam,49,129949,0.0377071004778798
Bin_20,R2Sept2020.sorted.bam,1374,244772,0.561338715212524
Bin_21,R2Dec2019.sorted.bam,426,129596,0.328713849192876
Bin_21,R2Feb2020.sorted.bam,5447,224838,2.42263318478193
Bin_21,R2Jan2020.sorted.bam,998,213553,0.467331294807378
Bin_21,R2July2020.sorted.bam,5869,271426,2.16228364268714
Bin_21,R2Mar2020.sorted.bam,1455,188802,0.770648616010424
Bin_21,R2Nov2019.sorted.bam,501,129949,0.38553586406975
Bin_21,R2Sept2020.sorted.bam,3898,244772,1.59250241040642
Bin_22,R2Dec2019.sorted.bam,1586,129596,1.22380320380259
Bin_22,R2Feb2020.sorted.bam,2914,224838,1.29604426298046
Bin_22,R2Jan2020.sorted.bam,2417,213553,1.13180334624192
Bin_22,R2July2020.sorted.bam,2900,271426,1.06843117461113
Bin_22,R2Mar2020.sorted.bam,2402,188802,1.27223228567494
Bin_22,R2Nov2019.sorted.bam,1601,129949,1.23202179316501
Bin_22,R2Sept2020.sorted.bam,3117,244772,1.27342996747994
Bin_23,R2Dec2019.sorted.bam,192,129596,0.148152720762987
Bin_23,R2Feb2020.sorted.bam,2122,224838,0.943790640372179
Bin_23,R2Jan2020.sorted.bam,402,213553,0.188243667848262
Bin_23,R2July2020.sorted.bam,1931,271426,0.711427792473823
Bin_23,R2Mar2020.sorted.bam,506,188802,0.268005635533522
Bin_23,R2Nov2019.sorted.bam,76,129949,0.0584844823738544
Bin_23,R2Sept2020.sorted.bam,2428,244772,0.991943522951972
Bin_24_1,R2Dec2019.sorted.bam,5,129596,0.00385814376986944
Bin_24_1,R2Feb2020.sorted.bam,179,224838,0.0796128768268709
Bin_24_1,R2Jan2020.sorted.bam,173,213553,0.0810103346710184
Bin_24_1,R2July2020.sorted.bam,200,271426,0.0736849085938709
Bin_24_1,R2Mar2020.sorted.bam,40,188802,0.0211862162477092
Bin_24_1,R2Nov2019.sorted.bam,0,129949,0
Bin_24_1,R2Sept2020.sorted.bam,22,244772,0.00898795613877404
Bin_24_2,R2Dec2019.sorted.bam,339,129596,0.261582147597148
Bin_24_2,R2Feb2020.sorted.bam,5281,224838,2.3488022487302
Bin_24_2,R2Jan2020.sorted.bam,3092,213553,1.44788413180803
Bin_24_2,R2July2020.sorted.bam,5719,271426,2.10701996124174
Bin_24_2,R2Mar2020.sorted.bam,1566,188802,0.829440366097817
Bin_24_2,R2Nov2019.sorted.bam,8,129949,0.00615626130251098
Bin_24_2,R2Sept2020.sorted.bam,2157,244772,0.88122824506071
Bin_24_3,R2Dec2019.sorted.bam,31,129596,0.0239204913731905
Bin_24_3,R2Feb2020.sorted.bam,551,224838,0.245065335930759
Bin_24_3,R2Jan2020.sorted.bam,322,213553,0.150782241410797
Bin_24_3,R2July2020.sorted.bam,544,271426,0.200422951375329
Bin_24_3,R2Mar2020.sorted.bam,120,188802,0.0635586487431277
Bin_24_3,R2Nov2019.sorted.bam,21,129949,0.0161601859190913
Bin_24_3,R2Sept2020.sorted.bam,142,244772,0.0580131714411779
Bin_24_4,R2Dec2019.sorted.bam,13,129596,0.0100311738016605
Bin_24_4,R2Feb2020.sorted.bam,1445,224838,0.642684955390103
Bin_24_4,R2Jan2020.sorted.bam,887,213553,0.415353565625395
Bin_24_4,R2July2020.sorted.bam,1431,271426,0.527215520989146
Bin_24_4,R2Mar2020.sorted.bam,280,188802,0.148303513733965
Bin_24_4,R2Nov2019.sorted.bam,1,129949,0.000769532662813873
Bin_24_4,R2Sept2020.sorted.bam,124,244772,0.0506593891458173
Bin_24_5,R2Dec2019.sorted.bam,33,129596,0.0254637488811383
Bin_24_5,R2Feb2020.sorted.bam,214,224838,0.0951796404522367
Bin_24_5,R2Jan2020.sorted.bam,114,213553,0.0533825326733879
Bin_24_5,R2July2020.sorted.bam,118,271426,0.0434740960703838
Bin_24_5,R2Mar2020.sorted.bam,73,188802,0.0386648446520694
Bin_24_5,R2Nov2019.sorted.bam,9,129949,0.00692579396532486
Bin_24_5,R2Sept2020.sorted.bam,23,244772,0.00939649959962741
Bin_25,R2Dec2019.sorted.bam,109,129596,0.0841075341831538
Bin_25,R2Feb2020.sorted.bam,7047,224838,3.13425666479865
Bin_25,R2Jan2020.sorted.bam,208,213553,0.0973997087374095
Bin_25,R2July2020.sorted.bam,9709,271426,3.57703388768946
Bin_25,R2Mar2020.sorted.bam,547,188802,0.289721507187424
Bin_25,R2Nov2019.sorted.bam,17,129949,0.0130820552678358
Bin_25,R2Sept2020.sorted.bam,13960,244772,5.70326671351298
Bin_26,R2Dec2019.sorted.bam,547,129596,0.422080928423717
Bin_26,R2Feb2020.sorted.bam,4019,224838,1.78750922886701
Bin_26,R2Jan2020.sorted.bam,562,213553,0.263166520723193
Bin_26,R2July2020.sorted.bam,3730,271426,1.37422354527569
Bin_26,R2Mar2020.sorted.bam,1418,188802,0.751051365981293
Bin_26,R2Nov2019.sorted.bam,745,129949,0.573301833796335
Bin_26,R2Sept2020.sorted.bam,5728,244772,2.34013694376808
Bin_27,R2Dec2019.sorted.bam,139,129596,0.10725639680237
Bin_27,R2Feb2020.sorted.bam,133,224838,0.0591537017763901
Bin_27,R2Jan2020.sorted.bam,65,213553,0.0304374089804405
Bin_27,R2July2020.sorted.bam,1616,271426,0.595374061438477
Bin_27,R2Mar2020.sorted.bam,53,188802,0.0280717365282147
