contigName	contigLen	totalAvgDepth	R1Dec2019.sorted.bam	R1Dec2019.sorted.bam-var	R1Feb2020.sorted.bam	R1Feb2020.sorted.bam-var	R1Jan2020.sorted.bam	R1Jan2020.sorted.bam-var	R1July2020.sorted.bam	R1July2020.sorted.bam-var	R1Mar2020.sorted.bam	R1Mar2020.sorted.bam-var	R1Nov2019.sorted.bam	R1Nov2019.sorted.bam-var	R1Sept2020.sorted.bam	R1Sept2020.sorted.bam-var	R2Dec2019.sorted.bam	R2Dec2019.sorted.bam-var	R2Feb2020.sorted.bam	R2Feb2020.sorted.bam-var	R2Jan2020.sorted.bam	R2Jan2020.sorted.bam-var	R2July2020.sorted.bam	R2July2020.sorted.bam-var	R2Mar2020.sorted.bam	R2Mar2020.sorted.bam-var	R2Nov2019.sorted.bam	R2Nov2019.sorted.bam-var	R2Sept2020.sorted.bam	R2Sept2020.sorted.bam-var
contig_2436	13023	10.0372	0.0223724	0.044245	0.463062	0.968799	0.708848	9.02781	1.08895	3.61735	1.71172	2.55419	0.00100987	0.00100892	0.396722	0.873686	0	0	0.402548	1.22504	0.211217	0.460132	0.233124	0.460314	2.06067	3.80216	0.00186437	0.00186133	2.7351	5.91202
contig_325	856	1533.57	67.4221	1498.58	184.067	3593.45	201.334	3540.57	68.483	394.321	142.075	1571.7	81.3881	1041.66	74.2989	419.376	102.654	2315	78.5382	337.616	176.643	2159.81	72.3003	633.589	128.992	893.18	95.3626	2047.42	60.0156	401.413
contig_2199	37948	1516.8	151.324	4479.14	45.8691	21767.8	61.4482	16351.5	53.952	279152	20.0438	13622.2	227.913	8916.29	146.609	1.28491e+06	182.468	7129.49	93.1975	586059	63.8312	19028.4	51.165	197561	18.3968	9740.84	324.031	30112.5	76.5551	425854
contig_1720	3406	48.8074	0.00337838	0.00336802	0	0	0	0	1.74232	2.61042	0	0	0	0	0.555897	0.630386	0	0	1.01382	4.84707	0	0	29.0326	124.817	0	0	0.188575	0.33862	16.2709	33.597
contig_2758	4688	42.7706	1.27633	6.69673	29.0597	102.792	3.6926	26.7813	0	0	0	0	0.00550903	0.00548004	0	0	0.00264434	0.00263792	0.133098	0.456614	1.27126	7.16694	2.90524	7.86317	0.166373	0.205305	0	0	4.25782	11.2259
contig_3394	26492	424.375	0.661833	4.87098	5.31387	13.9264	34.8163	679.179	76.9493	999.108	20.2962	94.6305	0.00117683	0.00117572	64.3196	382.742	7.70317	93.7336	61.85	583.563	39.2011	305.756	69.8592	713.114	20.4179	95.6199	0	0	22.9855	84.3014
contig_1509	15525	236.93	2.58426	17.5342	41.4332	214.691	1.63896	14.475	34.9338	180.706	3.26862	5.17522	0.215024	0.424982	56.9272	559.34	0.727285	6.00864	16.7495	79.4904	1.72702	8.43952	50.4387	365.544	2.41242	3.36725	0.00338211	0.0033709	23.8709	86.6298
contig_1201	1289	908.334	10.5171	77.0022	31.9017	189.888	15.1958	98.2875	105.213	3470.57	99.1018	337.838	3.35031	4.93956	114.16	724.185	3.71203	34.0541	158.432	2673.31	18.4504	83.367	97.5821	1587.09	123.322	1476.16	1.44425	6.64082	125.951	3330.24
contig_1777	21200	225.425	3.72442	30.0032	39.6546	384.818	2.33881	29.4854	32.6919	308.7	3.17135	5.36046	0.149264	0.210511	53.4679	645.884	0.793159	7.06086	14.7457	91.2593	1.742	13.2179	48.5169	618.875	2.14029	4.96095	0.00171021	0.00170784	22.2871	136.956
contig_2322	6029	219.438	4.70726	35.6123	36.209	311.177	3.0643	25.1098	32.4421	307.439	3.81698	8.26146	0.152577	0.321578	51.4936	411.499	0.796224	11.7223	14.4943	68.9364	1.49617	6.79682	42.1318	350.138	2.55588	8.36818	0	0	26.0781	145.877
contig_2172	15247	18.7304	0.039743	0.0776479	2.54335	6.20467	1.1811	10.0382	2.34768	8.42597	1.54633	3.49299	0	0	1.23296	2.91716	0.00079486	0.000794331	2.6861	13.903	1.24475	6.65561	1.87759	6.64822	0.951911	1.4121	0.000662383	0.000661827	3.07743	7.49142
contig_871	7712	34.13	1.01693	7.44608	1.42912	3.0375	1.76964	14.4345	5.38165	22.3766	0.856652	1.74368	0.132372	0.18734	4.31526	8.13151	1.05607	26.9081	3.59706	13.3055	0.838138	2.18799	4.24173	9.95813	0.967469	1.21568	0.49881	2.50591	8.02909	15.4793
