contig	marker	sum
contig_993	RtcB	3
contig_1983	SecY	2
contig_2033	Ribosomal_S2	2
contig_2058	tRNA-synt_1c	2
contig_2444	SecY	2
contig_2728	tRNA-synt_1c	2
contig_2957	RtcB	2
contig_2966	tRNA-synt_His	2
contig_3402	RtcB	2
contig_341	SecY	2
contig_3428	tRNA-synt_1c	2
contig_3510	tRNA-synt_His	2
contig_3586	tRNA-synt_His	2
contig_398	tRNA-synt_His	2
contig_432	AdoHcyase	2
contig_635	Ribosomal_S7	2
contig_636	Ribosomal_L6	2
contig_636	SecY	2
contig_737	AdoHcyase	2
contig_748	Ribosomal_S2	2
contig_790	CTP-dep_RFKase	2
contig_790	Diphthamide_syn	2
contig_790	Ham1p_like	2
contig_839	CarS-like	2
contig_839	FbpA	2
contig_839	HMG-CoA_red	2
contig_839	Ribosomal_L22	2
contig_839	Ribosomal_L3	2
contig_839	Ribosomal_L4	2
contig_839	tRNA-synt_1c	2
contig_839	tRNA-synt_His	2
contig_839	V_ATPase_I	2
contig_839	vATP-synt_AC39	2
contig_866	NDK	2
contig_993	AdoHcyase	2
contig_993	Diphthamide_syn	2
contig_993	tRNA-synt_1d	2
