bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Bin_1	1484193	142	14201	61.97362546670316	32.394366197183096	1.408450704225352	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter	Geobacter anodireducens
Bin_10	1406042	7	729800	41.73718032614469	94.73684210526316	18.42105263157895	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteraceae	Methanothermobacter	Methanothermobacter sp001507955
Bin_11	1757993	31	498920	39.796107653839165	94.73684210526316	9.210526315789474	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteraceae	Methanothermobacter	Methanothermobacter sp003584625
Bin_13_1	1067589	132	10519	45.415185176659115	40.84507042253521	4.225352112676056	Bacteria	Firmicutes	Syntrophomonadia	Thermacetogeniales	Thermacetogeniaceae	DTU068	DTU068 sp001513545
Bin_13_10	296738	49	8128	42.17888380396428	0.0	0.0	Bacteria	Firmicutes	Syntrophomonadia	Thermacetogeniales	Thermacetogeniaceae	DTU068	DTU068 sp001513545
Bin_13_11	252576	35	9306	42.729961202139954	0.0	0.0	Bacteria	Firmicutes	Thermosediminibacteria	Thermosediminibacterales	Tepidanaerobacteraceae	DTU063	DTU063 sp001512695
Bin_13_2	2675334	21	651490	57.35825511509746	95.77464788732394	7.042253521126761	Bacteria	Firmicutes	Limnochordia	DTU010	DTU010	DTU010	DTU010 sp002391385
Bin_13_3	419162	30	35510	51.708870953479604	23.943661971830984	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus solventivorans
Bin_13_4	2246826	6	621136	49.672660478835695	88.73239436619718	1.408450704225352	Bacteria	Firmicutes	SHA-98	UBA4971	UBA4971	UBA2557	UBA2557 sp900019985
Bin_13_5	714774	41	34782	43.015161550411335	0.0	0.0	Bacteria	Firmicutes	Syntrophomonadia	Thermacetogeniales	Thermacetogeniaceae	DTU068	DTU068 sp001513545
